tanggal,hari,pred_prophet,pred_sarimax,pred_hybrid,ci_lower_prophet,ci_upper_prophet,ci_lower_sarimax,ci_upper_sarimax,ci_lower_hybrid,ci_upper_hybrid,reliabilitas,keterangan
2026-02-01,Minggu,29801,29462,33555,26225,33377,27547,31377,30535,36575,Tinggi,
2026-02-02,Senin,21265,25010,24779,18347,24293,22925,27168,22106,27550,Tinggi,
2026-02-03,Selasa,22448,22659,22009,18994,26146,20371,25097,19257,24949,Tinggi,
2026-02-04,Rabu,29376,23244,26111,24387,34875,20502,26239,22416,30168,Tinggi,
2026-02-05,Kamis,23810,21878,21787,19400,28801,18940,25164,18358,25647,Tinggi,
2026-02-06,Jumat,24724,23125,23038,19779,30460,19656,27090,19059,27623,Tinggi,
2026-02-07,Sabtu,29571,30703,30882,23234,37094,25631,36622,25091,37700,Tinggi,
2026-02-08,Minggu,34539,30220,31997,26661,44099,24785,36690,25541,39759,Sedang,
2026-02-09,Senin,21206,22338,20774,16087,27549,18005,27596,16296,26265,Sedang,
2026-02-10,Selasa,21239,22314,18367,15838,28069,17681,28042,14164,23624,Sedang,
2026-02-11,Rabu,24290,23198,23271,17812,32646,18075,29647,17646,30438,Sedang,
2026-02-12,Kamis,26220,22046,23645,18912,35826,16895,28644,17636,31443,Sedang,
2026-02-13,Jumat,25485,23464,26902,18085,35393,17691,30986,19741,36360,Sedang,
2026-02-14,Sabtu,32023,29848,32669,22365,45189,22149,40052,23594,44867,Sedang,
2026-02-15,Minggu,30254,31584,27429,20800,43372,23071,43055,19500,38269,Rendah,
2026-02-16,Senin,28125,22662,23450,19038,40950,16299,31375,16415,33229,Rendah,
2026-02-17,Selasa,21393,23102,21512,14262,31627,16364,32477,14830,30951,Rendah,
2026-02-18,Rabu,19249,22188,25264,12641,28889,15482,31664,17157,36900,Rendah,
2026-02-19,Kamis,24193,22794,27892,15654,36850,15670,33014,18663,41346,Rendah,
2026-02-20,Jumat,22853,23610,23613,14572,35321,15997,34700,15571,35519,Rendah,
2026-02-21,Sabtu,34952,30028,35615,21970,54805,20054,44772,23150,54349,Rendah,
2026-02-22,Minggu,27564,30384,27488,17081,43838,20006,45949,17615,42546,Rendah,
2026-02-23,Senin,21300,23924,28582,13016,34352,15534,36691,18061,44861,Rendah,
2026-02-24,Selasa,20051,25753,19735,12085,32787,16492,40043,12300,31407,Rendah,
2026-02-25,Rabu,26088,22040,22724,15511,43244,13923,34738,13971,36658,Rendah,
2026-02-26,Kamis,25443,21642,28022,14926,42744,13490,34573,17000,45816,Rendah,
2026-02-27,Jumat,19809,22862,23056,11468,33722,14063,37008,13803,38199,Rendah,
2026-02-28,Sabtu,33074,29939,29998,18899,57046,18177,49102,17725,50354,Rendah,
2026-03-01,Minggu,33655,29010,28808,18985,58802,17387,48197,16804,48984,Rendah,
2026-03-02,Senin,22916,23343,22141,12763,40552,13813,39278,12751,38131,Rendah,
